id,avgRating,imagePath,imageURL,machineId,maintTs,measurementModuleId,partName,qlabel,setId,trialId,userId,userName,qpred,stored_img_name
XoKhvasFdDQg2fO9GxWd,1,test/db026446-602c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2Fdb026446-602c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=ce828881-8145-4c7c-86ed-037c7fb4b0e0,780rlY60M1ZHvBxY4VEv,1555408141377,Ro19n3T3TgJHOmA77Oeh,test0,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,db026446-602c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
1RJpvpFlubQvMIPltiWL,1,test/5987a56a-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2F5987a56a-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=b63af13b-7266-440b-9189-14e95bc4e210,780rlY60M1ZHvBxY4VEv,1555408353600,Ro19n3T3TgJHOmA77Oeh,test1,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,5987a56a-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
HpaEOR7cZJERz3C6WrXf,1,test/be9258c4-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2Fbe9258c4-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=9ad4c1d6-2508-4bb7-b447-feb6bbb2607d,780rlY60M1ZHvBxY4VEv,1555408522885,Ro19n3T3TgJHOmA77Oeh,test2,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,be9258c4-602d-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
vOOUH6YOSspV7isKBWsl,1,test/79ec5d9c-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2F79ec5d9c-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=2dd911b5-4681-4e72-aa56-7606da27130c,780rlY60M1ZHvBxY4VEv,1555414421105,Ro19n3T3TgJHOmA77Oeh,test3,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,79ec5d9c-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
NeIDYmLiSHos1csKP7sK,1,test/c43d6e0e-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2Fc43d6e0e-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=eeff06d1-d16e-47f2-8c6e-8f500da8b974,780rlY60M1ZHvBxY4VEv,1555414545580,Ro19n3T3TgJHOmA77Oeh,test4,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,c43d6e0e-603b-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
yBt4CPk2DxnVWhCLWuMU,1,test/10f4d9d0-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2F10f4d9d0-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=7cb799db-82b9-440b-9f50-dec32c570cef,780rlY60M1ZHvBxY4VEv,1555414675007,Ro19n3T3TgJHOmA77Oeh,start-44,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,10f4d9d0-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
rQkjCMELFdD8UYTEXfHW,1,test/5d9dc33c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2F5d9dc33c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=5fa48771-8076-44ca-b0a2-e44d0648a302,780rlY60M1ZHvBxY4VEv,1555414805032,Ro19n3T3TgJHOmA77Oeh,start-46,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,5d9dc33c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
zOjN2M5FULhnR1GhGI4i,1,test/83f221ae-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2F83f221ae-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=081a9e4b-d5fb-4adf-ad46-00b1d22d6fbb,780rlY60M1ZHvBxY4VEv,1555414868020,Ro19n3T3TgJHOmA77Oeh,start-47,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,83f221ae-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
uqwXBa5WwMlCHQ985mlz,1,test/aa64157c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2Faa64157c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=708d321f-e474-4e67-ba50-7b39233f4b09,780rlY60M1ZHvBxY4VEv,1555414932786,Ro19n3T3TgJHOmA77Oeh,start-48,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,aa64157c-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
YtQg4eAxPr7miQ5Siw1s,1,test/d0b2a73e-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh,https://firebasestorage.googleapis.com/v0/b/fireqc-965f2.appspot.com/o/test%2Fd0b2a73e-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh?alt=media&token=aeeef742-8a66-4101-b92d-c21481b257a6,780rlY60M1ZHvBxY4VEv,1555414996648,Ro19n3T3TgJHOmA77Oeh,start-49,test,TB5OWuk4SeYQbA2yw5Zm,Blx5O2au2KUN70kF5Tri,Zsn14EYxGuWdTxuMZxKf1CjMV3Y2,Pierre Nagorny,,d0b2a73e-603c-11e9-997c-a088b4f3a790_TE_Ro19n3T3TgJHOmA77Oeh_avR_1.jpg
